obs,val,err
PSQ0/T1g/N(0)N(0)_ref,2.0,0.0
PSQ0/T1g/N(0)N(0)_ref,2.0,0.0
PSQ0/T1g/N(1)N(1)_ref,2.0343457141341443,3.0271692500269634e-05
PSQ0/T1g/N(1)N(1)_ref,2.0343457141341443,3.0271692500269634e-05
PSQ0/T1g/N(2)N(2)_ref,2.0681211205420067,5.955456542954027e-05
PSQ0/T1g/N(2)N(2)_ref,2.0681211205420067,5.955456542954027e-05
PSQ0/T1g/N(3)N(3)_ref,2.101353719355189,8.791899711489409e-05
PSQ0/T1g/N(3)N(3)_ref,2.101353719355189,8.791899711489409e-05
PSQ0/T1g/N(3)N(3)_ref,2.101353719355189,8.791899711489409e-05
PSQ0/A1g/N(0)N(0)_ref,2.0,0.0
PSQ0/A1g/N(1)N(1)_ref,2.0343457141341443,3.0271692500269634e-05
PSQ0/A1g/N(2)N(2)_ref,2.0681211205420067,5.955456542954027e-05
PSQ0/A1g/N(3)N(3)_ref,2.101353719355189,8.791899711489409e-05
PSQ0/A1g/N(3)N(3)_ref,2.101353719355189,8.791899711489409e-05
PSQ0/A1g/elab_2,1.4434427342790286,0.002533026963942845
PSQ0/A1g/ecm_1,1.424723418283251,0.002318573801252423
single_hadrons/N(3)_ref,1.0495717083758431,0.00022548613732049927
single_hadrons/N(5)_ref,1.0813833994966924,0.00024424794792882214
PSQ0/T1g/ecm_6,1.4681957193561124,0.0021410488012781653
PSQ0/A1g/elab_4,1.6130945110657047,0.007414136653196952
single_hadrons/ref,0.7033083855277937,0.00031255166524443614
PSQ0/T1g/ecm_3_ref,2.0531078102501263,0.0029773725107628143
PSQ0/A1g/elab_1,1.424723418283251,0.002318573801252423
PSQ0/T1g/ecm_1_ref,2.0249723226698433,0.0027635740694025935
single_hadrons/N(1)_ref,1.0164666345997893,0.00026527453621438444
PSQ0/A1g/elab_4_ref,2.2935806600047393,0.010563007700184703
PSQ0/T1g/elab_3,1.4439679393415201,0.002110030554745851
single_hadrons/N(1),0.7148895077232476,0.0003134561863647771
PSQ0/T1g/ecm_6_ref,2.0875561127489095,0.002975690986527297
PSQ0/T1g/elab_2_ref,2.028582819221639,0.0025109556719187993
PSQ0/A1g/ecm_0,1.399307895486935,0.00224747411945051
PSQ0/T1g/ecm_1,1.424180014995394,0.001997173967638963
PSQ0/A1g/ecm_3_ref,2.091203003661341,0.003752383432764653
PSQ0/T1g/ecm_2,1.4267193074961912,0.0018572135024271612
PSQ0/T1g/elab_5,1.4491223068299273,0.001863602878670107
PSQ0/T1g/elab_5_ref,2.060436554787331,0.0026443839311864367
PSQ0/T1g/elab_3_ref,2.0531078102501263,0.0029773725107628143
single_hadrons/N(0),0.7033083855277937,0.00031255166524443614
PSQ0/A1g/ecm_4,1.6130945110657047,0.007414136653196952
PSQ0/T1g/ecm_8,1.5761946779283107,0.015149572632086246
PSQ0/T1g/ecm_7,1.4783169527550908,0.002472377321824818
PSQ0/T1g/elab_6,1.4681957193561124,0.0021410488012781653
PSQ0/T1g/elab_0_ref,1.9904383328138497,0.002529807024856647
PSQ0/A1g/ecm_0_ref,1.9896078651711686,0.003175435163175872
single_hadrons/N(2),0.7268099476060522,0.0002910649242728353
PSQ0/T1g/elab_8,1.5761946779283107,0.015149572632086246
single_hadrons/N(4)_ref,1.0657971105531323,0.0002516630211355993
PSQ0/T1g/ecm_7_ref,2.1019470024457285,0.0034463142963641956
single_hadrons/N(2)_ref,1.0334157285223067,0.0002074323478080469
PSQ0/A1g/elab_3,1.4707606083159308,0.0026717800282570676
PSQ0/A1g/ecm_3,1.4707606083159308,0.0026717800282570676
PSQ0/A1g/elab_0,1.399307895486935,0.00224747411945051
PSQ0/A1g/ecm_4_ref,2.2935806600047393,0.010563007700184703
PSQ0/T1g/elab_2,1.4267193074961912,0.0018572135024271612
single_hadrons/N(3),0.7381725837134626,0.00028703852151300524
PSQ0/T1g/elab_0,1.399891970343942,0.001796376477446516
PSQ0/T1g/elab_7_ref,2.1019470024457285,0.0034463142963641956
PSQ0/T1g/elab_1,1.424180014995394,0.001997173967638963
PSQ0/T1g/elab_4_ref,2.0565379839404523,0.002785244570132185
PSQ0/T1g/elab_8_ref,2.2411145812593496,0.021598300716462012
single_hadrons/N(0)_ref,1.0,0.0
PSQ0/A1g/ecm_2,1.4434427342790286,0.002533026963942845
PSQ0/A1g/elab_2_ref,2.0523610467061406,0.0035615082268659094
PSQ0/T1g/ecm_4_ref,2.0565379839404523,0.002785244570132185
PSQ0/T1g/ecm_0,1.399891970343942,0.001796376477446516
PSQ0/T1g/elab_4,1.4463804092617434,0.0019186202019187792
PSQ0/T1g/ecm_2_ref,2.028582819221639,0.0025109556719187993
PSQ0/T1g/elab_1_ref,2.0249723226698433,0.0027635740694025935
PSQ0/T1g/ecm_3,1.4439679393415201,0.002110030554745851
PSQ0/T1g/ecm_4,1.4463804092617434,0.0019186202019187792
PSQ0/T1g/ecm_5,1.4491223068299273,0.001863602878670107
PSQ0/A1g/ecm_1_ref,2.0257449613857164,0.0032618940220713838
PSQ0/A1g/elab_1_ref,2.0257449613857164,0.0032618940220713838
PSQ0/A1g/elab_3_ref,2.091203003661341,0.003752383432764653
PSQ0/A1g/ecm_2_ref,2.0523610467061406,0.0035615082268659094
PSQ0/T1g/ecm_5_ref,2.060436554787331,0.0026443839311864367
PSQ0/T1g/ecm_8_ref,2.2411145812593496,0.021598300716462012
PSQ0/A1g/elab_0_ref,1.9896078651711686,0.003175435163175872
PSQ0/T1g/ecm_0_ref,1.9904383328138497,0.002529807024856647
PSQ0/T1g/elab_6_ref,2.0875561127489095,0.002975690986527297
single_hadrons/N(5),0.7605460128365759,0.000301215161915326
single_hadrons/N(4),0.749584045123311,0.0003051281058831908
PSQ0/T1g/elab_7,1.4783169527550908,0.002472377321824818
