obs,val,err
PSQ0/T1g/N(0)N(0)_ref,2.0,0.0
PSQ0/T1g/N(0)N(0)_ref,2.0,0.0
PSQ0/T1g/N(1)N(1)_ref,2.0343457141341443,3.0271692500269634e-05
PSQ0/T1g/N(1)N(1)_ref,2.0343457141341443,3.0271692500269634e-05
PSQ0/T1g/N(2)N(2)_ref,2.0681211205420067,5.955456542954027e-05
PSQ0/T1g/N(2)N(2)_ref,2.0681211205420067,5.955456542954027e-05
PSQ0/T1g/N(3)N(3)_ref,2.101353719355189,8.791899711489409e-05
PSQ0/T1g/N(3)N(3)_ref,2.101353719355189,8.791899711489409e-05
PSQ0/A1g/N(0)N(0)_ref,2.0,0.0
PSQ0/A1g/N(1)N(1)_ref,2.0343457141341443,3.0271692500269634e-05
PSQ0/A1g/N(2)N(2)_ref,2.0681211205420067,5.955456542954027e-05
PSQ0/A1g/N(3)N(3)_ref,2.101353719355189,8.791899711489409e-05
PSQ0/A1g/elab_2,1.4436544859589688,0.002516649063698065
PSQ0/A1g/ecm_1,1.42480963147461,0.002328911904895941
single_hadrons/N(3)_ref,1.0495717083758431,0.00022548613732049927
single_hadrons/N(5)_ref,1.0813833994966924,0.00024424794792882214
PSQ0/T1g/ecm_6,1.468183934195731,0.0021458479747650614
single_hadrons/ref,0.7033083855277937,0.00031255166524443614
PSQ0/T1g/ecm_3_ref,2.053128669568677,0.002979002377176251
PSQ0/A1g/elab_1,1.42480963147461,0.002328911904895941
PSQ0/T1g/ecm_1_ref,2.025410356726443,0.0027360999347707357
single_hadrons/N(1)_ref,1.0164666345997893,0.00026527453621438444
PSQ0/T1g/elab_3,1.4439826098751734,0.002110921886200364
single_hadrons/N(1),0.7148895077232476,0.0003134561863647771
PSQ0/T1g/ecm_6_ref,2.087539356002333,0.002980375202422088
PSQ0/T1g/elab_2_ref,2.028554563387826,0.0025190951801935665
PSQ0/A1g/ecm_0,1.3992030863023404,0.0022329057972740995
PSQ0/T1g/ecm_1,1.4244880880205475,0.0019813223635526535
PSQ0/A1g/ecm_3_ref,2.0916593826475105,0.0037012237261979273
PSQ0/T1g/ecm_2,1.4266994349313304,0.001862271605658091
PSQ0/T1g/elab_5,1.449161269568229,0.001855015253625798
PSQ0/T1g/elab_5_ref,2.0604919540106352,0.002632495714073356
PSQ0/T1g/elab_3_ref,2.053128669568677,0.002979002377176251
single_hadrons/N(0),0.7033083855277937,0.00031255166524443614
PSQ0/T1g/ecm_7,1.473087230911366,0.0019610182016574925
PSQ0/T1g/elab_6,1.468183934195731,0.0021458479747650614
PSQ0/T1g/elab_0_ref,1.9904961846260159,0.0025310366896775264
PSQ0/A1g/ecm_0_ref,1.9894588420871968,0.0031547219853443487
single_hadrons/N(2),0.7268099476060522,0.0002910649242728353
single_hadrons/N(4)_ref,1.0657971105531323,0.0002516630211355993
PSQ0/T1g/ecm_7_ref,2.0945111152142686,0.002764968736519213
single_hadrons/N(2)_ref,1.0334157285223067,0.0002074323478080469
PSQ0/A1g/elab_3,1.4710815834838824,0.0026398942831553657
PSQ0/A1g/elab_0,1.3992030863023404,0.0022329057972740995
PSQ0/A1g/ecm_3,1.4710815834838824,0.0026398942831553657
single_hadrons/N(3),0.7381725837134626,0.00028703852151300524
PSQ0/T1g/elab_2,1.4266994349313304,0.001862271605658091
PSQ0/T1g/elab_0,1.3999326580085565,0.001797233264500237
PSQ0/T1g/elab_7_ref,2.0945111152142686,0.002764968736519213
PSQ0/T1g/elab_1,1.4244880880205475,0.0019813223635526535
PSQ0/T1g/elab_4_ref,2.056886360574214,0.002736924143977527
single_hadrons/N(0)_ref,1.0,0.0
PSQ0/A1g/ecm_2,1.4436544859589688,0.002516649063698065
PSQ0/A1g/elab_2_ref,2.052662126124924,0.003528773839896726
PSQ0/T1g/ecm_4_ref,2.056886360574214,0.002736924143977527
PSQ0/T1g/ecm_0,1.3999326580085565,0.001797233264500237
PSQ0/T1g/elab_4,1.4466254254695898,0.0018838423619540856
PSQ0/T1g/ecm_2_ref,2.028554563387826,0.0025190951801935665
PSQ0/T1g/elab_1_ref,2.025410356726443,0.0027360999347707357
PSQ0/T1g/ecm_3,1.4439826098751734,0.002110921886200364
PSQ0/T1g/ecm_4,1.4466254254695898,0.0018838423619540856
PSQ0/T1g/ecm_5,1.449161269568229,0.001855015253625798
PSQ0/A1g/ecm_1_ref,2.0258675437310045,0.0032767699315073475
PSQ0/A1g/elab_1_ref,2.0258675437310045,0.0032767699315073475
PSQ0/A1g/elab_3_ref,2.0916593826475105,0.0037012237261979273
PSQ0/A1g/ecm_2_ref,2.052662126124924,0.003528773839896726
PSQ0/T1g/ecm_5_ref,2.0604919540106352,0.002632495714073356
PSQ0/A1g/elab_0_ref,1.9894588420871968,0.0031547219853443487
PSQ0/T1g/ecm_0_ref,1.9904961846260159,0.0025310366896775264
PSQ0/T1g/elab_6_ref,2.087539356002333,0.002980375202422088
single_hadrons/N(5),0.7605460128365759,0.000301215161915326
single_hadrons/N(4),0.749584045123311,0.0003051281058831908
PSQ0/T1g/elab_7,1.473087230911366,0.0019610182016574925
