energy
G1u 0 6.696640138936975 6.683905135593042 0.00580834155923762 4.807218169219384
G1u 0 6.992576631268676 7.027914887443696 0.031024738386790394 1.2974002382782905
G1u 0 7.2661013991523395 7.242270816026388 0.01579273376481602 2.276956380233578
G1u 0 7.57295842035464 7.602991269204471 0.038878502902110555 0.5967246719907664
G1 1 6.72029864317017 6.712483944658373 0.011514309832925755 0.4606261956712835
G1 1 7.0256005012639475 7.04348210835192 0.021673448548634518 0.6807020484484442
G1 1 7.26707375586441 7.284243056068857 0.01803319828934195 0.9064830178185787
G1 1 7.3801454404259195 7.364991914684553 0.024705158269005833 0.37622885527591743
G 2 6.742717405114866 6.760837515630746 0.008797814826135168 4.242013542169059
G 2 7.048282174023563 7.039636579479552 0.01604860791083168 0.2902117521276511
G 2 7.3059647043293525 7.3098621774314445 0.012437697518523928 0.09819429851020721
G 3 6.763957903110915 6.7786759890859924 0.006548926693997507 5.050826061990838
G 3 7.064813947045046 7.0653811470315455 0.012876072941908906 0.0019404638978768405
G 3 7.350150984236454 7.356053409170083 0.015270195056226267 0.1494072856222702
G 3 7.436994915422961 7.406831439288723 0.018655399203814357 2.6142895405838087
